Distance,IDIM,LOCAL_COUNT,PIV_IDIM,PIV_COUNT
3.94,6.9685459,866871,3.240199883,500
3.95,7.123711742,857073,3.246407286,500
3.96,7.281386772,846651,3.252721328,500
3.97,7.445195711,836004,3.259139815,500
3.98,7.611552936,824719,3.265660612,500
3.99,7.778705622,812632,3.272281641,500
4,7.951482154,800264,3.279000875,500
4.01,8.130011924,787615,3.285816341,500
4.02,8.310561285,774312,3.292726117,500
4.03,8.495409744,760593,3.299728328,500
4.04,8.687027742,746678,3.306821149,500
4.05,8.877880802,731922,3.314002799,500
4.06,9.072040174,716729,3.321271544,500
4.07,9.270205672,701172,3.32862569,500
4.08,9.470791045,685160,3.336063588,500
4.09,9.679844433,669147,3.343583628,500
4.1,9.892470596,652779,3.35118424,500
4.11,10.10909803,636112,3.358863893,500
4.12,10.32718177,619027,3.366621093,500
4.13,10.54605547,601543,3.37445438,500
4.14,10.76889121,583901,3.382362333,500
4.15,10.99392282,566035,3.390343561,500
4.16,11.22925609,548384,3.398396709,500
4.17,11.46490956,530462,3.406520453,500
4.18,11.70437701,512489,3.414713499,500
4.19,11.9438201,494345,3.422974586,500
4.2,12.19361521,476493,3.431302481,500
4.21,12.44599622,458637,3.439695978,500
4.22,12.69999789,440786,3.448153902,500
4.23,12.95630408,423010,3.456675103,500
4.24,13.222894,405598,3.465258458,500
4.25,13.48870628,388216,3.473902868,500
4.26,13.75509033,370975,3.482607262,500
4.27,14.03221781,354172,3.491370591,500
4.28,14.30321775,337404,3.500191828,500
4.29,14.58229185,321064,3.509069974,500
4.3,14.87077234,305173,3.518004046,500
4.31,15.1615589,289598,3.526993088,500
4.32,15.44237677,274152,3.536036162,500
4.33,15.7368337,259314,3.545132351,500
4.34,16.01465101,244593,3.554280759,500
4.35,16.31466114,230628,3.563480509,500
4.36,16.63154167,217276,3.572730742,500
4.37,16.92491014,204037,3.582030619,500
4.38,17.23048875,191405,3.591379318,500
4.39,17.53582189,179225,3.600776035,500
4.4,17.84230779,167530,3.610219982,500
4.41,18.13521631,156200,3.619710389,500
4.42,18.45336972,145583,3.629246503,500
4.43,18.78401968,135521,3.638827583,500
4.44,19.09700394,125799,3.648452908,500
4.45,19.43287282,116694,3.658121769,500
4.46,19.77084257,108048,3.667833473,500
4.47,20.07202295,99676,3.677587339,500
4.48,20.39265023,91869,3.687382704,500
4.49,20.67609803,84377,3.697218915,500
4.5,21.04765378,77680,3.707095334,500
4.51,21.36181461,71184,3.717011335,500
4.52,21.69761279,65172,3.726966306,500
4.53,22.04938402,59598,3.736959644,500
4.54,22.34360877,54257,3.746990763,500
4.55,22.63038369,49297,3.757059084,500
4.56,23.01267015,44900,3.767164042,500
4.57,23.37648674,40776,3.777305082,500
4.58,23.70883402,36910,3.787481662,500
4.59,24.03433635,33336,3.797693247,500
4.6,24.34751952,30042,3.807939315,500
4.61,24.71308179,27079,3.818219355,500
4.62,25.08272157,24363,3.828532862,500
4.63,25.47451463,21886,3.838879344,500
4.64,25.90411727,19651,3.849258318,500
4.65,26.1904515,17511,3.85966931,500
4.66,26.54058679,15615,3.870111853,500
4.67,26.97647763,13934,3.880585491,500
4.68,27.36569283,12388,3.891089777,500
4.69,27.66532584,10957,3.90162427,500
4.7,28.05103084,9704,3.91218854,500
4.71,28.48699819,8591,3.922782163,500
4.72,28.79025838,7553,3.933404723,500
4.73,29.14075521,6640,3.944055813,500
4.74,29.46652209,5820,3.954735033,500
4.75,29.89110513,5107,3.965441988,500
4.76,30.14823827,4452,3.976176294,500
4.77,30.52120659,3885,3.986937571,500
4.78,30.89491413,3385,3.997725447,500
4.79,31.12840245,2933,4.008539558,500
4.8,31.63016848,2557,4.019379543,500
4.81,31.80888009,2204,4.030245051,500
4.82,32.31196013,1914,4.041135735,500
4.83,32.69446494,1652,4.052051256,500
4.84,32.88759499,1413,4.06299128,500
4.85,33.00594613,1209,4.073955477,500
4.86,33.30748886,1037,4.084943526,500
4.87,33.86447541,894,4.095955111,500
4.88,33.96672347,758,4.106989919,500
4.89,35.26904899,665,4.118047645,500
4.9,35.95713884,569,4.129127988,500
4.91,36.19787693,480,4.140230652,500
4.92,36.50395302,405,4.151355348,500
4.93,36.64042088,338,4.162501789,500
4.94,36.79652213,284,4.173669696,500
4.95,37.78958038,241,4.184858791,500
4.96,39.00279188,206,4.196068804,500
4.97,40.90499178,179,4.207299469,500
4.98,41.60730099,148,4.218550522,500
4.99,44.31762571,127,4.229821706,500
5,45.41346762,104,4.241112768,500
5.01,43.0577059,80,4.252423457,500
5.02,44.18721026,64,4.263753529,500
5.03,48.59779314,58,4.275102742,500
5.04,46.9886477,44,4.286470859,500
5.05,41.66209337,31,4.297857646,500
5.06,39.12480258,25,4.309262874,500
5.07,36.26110737,19,4.320686317,500
5.08,42.17601124,17,4.332127752,500
5.09,45.99954692,15,4.34358696,500
5.1,47.90415741,13,4.355063726,500
5.11,37.00249605,8,4.366557839,500
5.12,33.52591418,7,4.37806909,500
5.13,34.19152003,6,4.389597272,500
5.14,42.76696495,5,4.401142186,500
5.15,42.71011438,5,4.412703631,500
5.16,244.582671,3,4.424281412,500
5.17,242.0077435,3,4.435875336,500
